first(df3_4, 10) = 10×3 DataFrame
 Row │ hotel_id  total_price_var  total_price_std
     │ String    Float64          Float64
─────┼────────────────────────────────────────────
   1 │ h_75           1.09549e9     33098.2
   2 │ h_219          8.59601e8     29319.0
   3 │ h_179          3.08648e8     17568.4
   4 │ h_214          7.47238e9     86442.9
   5 │ h_16           6.57522e9     81087.7
   6 │ h_241          4.53949e8     21306.1
   7 │ h_256          1.77023e10        1.3305e5
   8 │ h_217          1.46737e9     38306.2
   9 │ h_240          1.16982e10        1.08158e5
  10 │ h_183          7.94329e8     28183.9
