10×5 DataFrame
 Row │ type     length    thickness  fault_flg  fault_flg_per_type
     │ String1  Float64   Float64    Bool       Float64
─────┼─────────────────────────────────────────────────────────────
   1 │ E        274.027    40.2411       false           0.0612245
   2 │ D         86.3193   16.9067       false           0.0327103
   3 │ E        123.94      1.01846      false           0.0612245
   4 │ B        175.555    16.4149       false           0.0344828
   5 │ B        244.935    29.0611       false           0.0344828
   6 │ B        226.427    39.7638       false           0.0344828
   7 │ C        331.638    16.8356       false           0.0761905
   8 │ A        200.865    12.1843       false           0.0547264
   9 │ C        276.387    29.8996       false           0.0761905
  10 │ E        168.441     1.26592      false           0.0612245
