30×4 DataFrame
 Row │ type     length    thickness  fault_flg
     │ String1  Float64   Float64    Bool
─────┼─────────────────────────────────────────
   1 │ E        274.027   40.2411        false
   2 │ D         86.3193  16.9067        false
   3 │ E        123.94     1.01846       false
   4 │ B        175.555   16.4149        false
   5 │ B        244.935   29.0611        false
   6 │ B        226.427   39.7638        false
   7 │ C        331.638   16.8356        false
   8 │ A        200.865   12.1843        false
   9 │ C        276.387   29.8996        false
  10 │ E        168.441    1.26592       false
  11 │ D        218.139   33.1354        false
  12 │ E        215.179   41.7599        false
  13 │ D        218.038   11.8363        false
  14 │ E        218.31    39.5786        false
  15 │ D        207.823   38.7026        false
  16 │ E        286.537    5.3755        false
  17 │ C        239.284   18.9418        false
  18 │ C        373.655   11.2548        false
  19 │ E        200.112   17.9743        false
  20 │ C        326.175   44.3079        false
  21 │ B        157.573    0.409495      false
  22 │ B        150.217    8.68243       false
  23 │ C        358.605   25.7004        false
  24 │ C        269.006   16.9575        false
  25 │ B        202.549   19.4704        false
  26 │ D        223.806   19.6508        false
  27 │ B        263.844   34.6643        false
  28 │ B        169.691   19.4704        false
  29 │ A        131.849    4.7216         true
  30 │ E        128.99    16.5232        false
