10×4 DataFrame
 Row │ type      length    thickness  fault_flg
     │ String1…  Float64   Float64    Bool
─────┼──────────────────────────────────────────
   1 │ E         274.027    40.2411       false
   2 │ D          86.3193   16.9067       false
   3 │ E         123.94      1.01846      false
   4 │ B         175.555    16.4149       false
   5 │ B         244.935    29.0611       false
   6 │ B         226.427    39.7638       false
   7 │ C         331.638    16.8356       false
   8 │ A         200.865    12.1843       false
   9 │ C         276.387    29.8996       false
  10 │ E         168.441     1.26592      false
