10×6 DataFrame
 Row │ hotel_id  price_max  price_min  price_mean      price_medeian  price_20per
     │ String7…  Int64      Int64      Float64         Float64        Float64
─────┼────────────────────────────────────────────────────────────────────────────
   1 │ h_75          97200      16200   49950.0              36450.0      24300.0
   2 │ h_219         92700      10300   46746.2              30900.0      20600.0
   3 │ h_179         67200       5600   32421.1              33600.0      17920.0
   4 │ h_214        437400     145800       2.51836e5       291600.0     194400.0
   5 │ h_16         272400      45400       1.42174e5       136200.0      68100.0
   6 │ h_241         72000       6000   29555.6              24000.0      12000.0
   7 │ h_256        414000      34500       1.53682e5       103500.0      69000.0
   8 │ h_217        136800      22800   78763.6              68400.0      45600.0
   9 │ h_240        320400      26700  137060.0              80100.0      48060.0
  10 │ h_183        118800       9900   48400.0              39600.0      29700.0
