15×4 DataFrame
 Row │ customer_id  reserve_datetime     total_price  price_sum
     │ String7      Dates.DateTime       Int64        Float64?
─────┼──────────────────────────────────────────────────────────
   1 │ c_1          2016-03-06T13:09:42        97200  missing
   2 │ c_1          2016-07-16T23:39:55        20600  missing
   3 │ c_1          2016-09-24T10:03:17        33600   151400.0
   4 │ c_1          2017-03-08T03:20:10       194400   248600.0
   5 │ c_1          2017-09-05T19:50:37        68100   296100.0
   6 │ c_1          2017-11-27T18:47:05        36000   298500.0
   7 │ c_1          2017-12-29T10:38:36       103500   207600.0
   8 │ c_1          2018-05-26T08:42:51         6000   145500.0
   9 │ c_2          2016-03-05T13:31:06        68400  missing
  10 │ c_2          2016-06-25T09:12:22       320400  missing
  11 │ c_2          2016-11-19T12:49:10        29700   418500.0
  12 │ c_2          2017-05-24T10:06:21        81600   431700.0
  13 │ c_2          2017-10-19T03:03:30       137000   248300.0
  14 │ c_2          2018-02-18T05:12:58        75600   294200.0
  15 │ c_2          2018-04-19T11:25:00        68800   281400.0
