10×10 DataFrame
 Row │ hotel_id  reserve_id  customer_id  reserve_datetime     checkin_date  checkin_time  checkout_date  people_num  total_price  log_no
     │ String    String      String       Dates.DateTime       Dates.Date    Dates.Time    Dates.Date     Int64       Int64        Int64
─────┼────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
   1 │ h_75      r1          c_1          2016-03-06T13:09:42  2016-03-26    10:00:00      2016-03-29              4        97200       3
   2 │ h_219     r2          c_1          2016-07-16T23:39:55  2016-07-20    11:30:00      2016-07-21              2        20600       4
   3 │ h_179     r3          c_1          2016-09-24T10:03:17  2016-10-19    09:00:00      2016-10-22              2        33600      12
   4 │ h_214     r4          c_1          2017-03-08T03:20:10  2017-03-29    11:00:00      2017-03-30              4       194400       9
   5 │ h_16      r5          c_1          2017-09-05T19:50:37  2017-09-22    10:30:00      2017-09-23              3        68100      18
   6 │ h_241     r6          c_1          2017-11-27T18:47:05  2017-12-04    12:00:00      2017-12-06              3        36000      25
   7 │ h_256     r7          c_1          2017-12-29T10:38:36  2018-01-25    10:30:00      2018-01-28              1       103500      11
   8 │ h_241     r8          c_1          2018-05-26T08:42:51  2018-06-08    10:00:00      2018-06-09              1         6000      26
   9 │ h_217     r9          c_2          2016-03-05T13:31:06  2016-03-25    09:30:00      2016-03-27              3        68400       2
  10 │ h_240     r10         c_2          2016-06-25T09:12:22  2016-07-14    11:00:00      2016-07-17              4       320400       4
